Expiry,Strike,Maturity,Waarde
6,6,6,0.47
7,6,6,0.5
8,6,6,0.52
9,6,6,0.53
10,6,6,0.54
11,6,6,0.55
12,6,6,0.56
13,6,6,0.56
14,6,6,0.57
15,6,6,0.57
16,6,6,0.56
17,6,6,0.55
18,6,6,0.53
19,6,6,0.52
1,7,6,0.57
2,7,6,0.6
3,7,6,0.54
4,7,6,0.51
5,7,6,0.49
6,7,6,0.5
7,7,6,0.52
8,7,6,0.53
9,7,6,0.54
10,7,6,0.55
11,7,6,0.56
12,7,6,0.56
13,7,6,0.57
14,7,6,0.57
15,7,6,0.57
16,7,6,0.57
17,7,6,0.56
18,7,6,0.54
19,7,6,0.53
1,8,6,0.83
2,8,6,0.86
3,8,6,0.73
4,8,6,0.67
5,8,6,0.6
6,8,6,0.57
7,8,6,0.58
8,8,6,0.57
9,8,6,0.56
10,8,6,0.57
11,8,6,0.58
12,8,6,0.59
13,8,6,0.59
14,8,6,0.59
15,8,6,0.59
16,8,6,0.58
17,8,6,0.57
18,8,6,0.56
19,8,6,0.55
1,9,6,1.31
2,9,6,1.34
3,9,6,1.1
4,9,6,0.97
5,9,6,0.83
6,9,6,0.74
7,9,6,0.72
8,9,6,0.69
9,9,6,0.65
10,9,6,0.66
11,9,6,0.66
12,9,6,0.66
13,9,6,0.66
14,9,6,0.66
15,9,6,0.65
16,9,6,0.64
17,9,6,0.62
18,9,6,0.61
19,9,6,0.6
1,10,6,1.76
2,10,6,1.8
3,10,6,1.45
4,10,6,1.27
5,10,6,1.05
6,10,6,0.92
7,10,6,0.88
8,10,6,0.82
9,10,6,0.77
10,10,6,0.76
11,10,6,0.76
12,10,6,0.76
13,10,6,0.75
14,10,6,0.75
15,10,6,0.73
16,10,6,0.71
17,10,6,0.69
18,10,6,0.68
19,10,6,0.66
1,11,6,2.19
2,11,6,2.23
3,11,6,1.79
4,11,6,1.55
5,11,6,1.27
6,11,6,1.1
7,11,6,1.04
8,11,6,0.96
9,11,6,0.88
10,11,6,0.87
11,11,6,0.87
12,11,6,0.86
13,11,6,0.85
14,11,6,0.84
15,11,6,0.81
16,11,6,0.78
17,11,6,0.76
18,11,6,0.76
19,11,6,0.73
1,12,6,2.6
2,12,6,2.65
3,12,6,2.12
4,12,6,1.83
5,12,6,1.49
6,12,6,1.27
7,12,6,1.19
8,12,6,1.1
9,12,6,1
10,12,6,0.98
11,12,6,0.98
12,12,6,0.96
13,12,6,0.95
14,12,6,0.94
15,12,6,0.9
16,12,6,0.86
17,12,6,0.83
18,12,6,0.84
19,12,6,0.8
1,1,7,0.93
2,1,7,0.97
3,1,7,0.84
4,1,7,0.73
5,1,7,0.63
6,1,7,0.56
7,1,7,0.57
8,1,7,0.58
9,1,7,0.58
10,1,7,0.58
11,1,7,0.58
12,1,7,0.57
13,1,7,0.57
14,1,7,0.57
15,1,7,0.53
16,1,7,0.47
17,1,7,0.4
18,1,7,0.37
19,1,7,0.32
1,2,7,0.75
2,2,7,0.79
